id;name;description;job_priority
1;XML neural;Concrete ROI virtual;High
2;synthesizing bypass;Technicien robust bi-directional;High
3;Account Nauru;b hack input;Low
4;Dauphine mobile Ingenieur;CSS Molière;Normal
5;calculate Versatile transmitter;bypassing;Low
6;Music even-keeled back-end;Borders ability;Low
7;Coordinateur XML reboot;Tasty Toys;Normal
8;Buckinghamshire generation;override ADP algorithm;High
9;SMTP bypassing teal;projection pixel SAS;Normal
10;cultivate Jordanian de;Wooden;Normal
